127.0.0.1 - - [18/Oct/2020:20:25:23 +0900] "GET / HTTP/1.1" 404 807
192.168.25.57 - - [18/Oct/2020:20:27:13 +0900] "GET /Eody/main.mc HTTP/1.1" 200 28047
192.168.25.57 - - [18/Oct/2020:20:27:13 +0900] "GET /Eody/view/searcher/css/bootstrap.min.css HTTP/1.1" 304 -
192.168.25.57 - - [18/Oct/2020:20:27:13 +0900] "GET /Eody/view/searcher/css/font-awesome.min.css HTTP/1.1" 304 -
192.168.25.57 - - [18/Oct/2020:20:27:13 +0900] "GET /Eody/view/searcher/css/themify-icons.css HTTP/1.1" 304 -
192.168.25.57 - - [18/Oct/2020:20:27:13 +0900] "GET /Eody/view/searcher/css/nice-select.css HTTP/1.1" 304 -
192.168.25.57 - - [18/Oct/2020:20:27:13 +0900] "GET /Eody/view/searcher/css/magnific-popup.css HTTP/1.1" 304 -
192.168.25.57 - - [18/Oct/2020:20:27:13 +0900] "GET /Eody/view/searcher/css/owl.carousel.min.css HTTP/1.1" 304 -
192.168.25.57 - - [18/Oct/2020:20:27:13 +0900] "GET /Eody/view/searcher/css/flaticon.css HTTP/1.1" 304 -
192.168.25.57 - - [18/Oct/2020:20:27:13 +0900] "GET /Eody/view/searcher/css/gijgo.css HTTP/1.1" 304 -
192.168.25.57 - - [18/Oct/2020:20:27:13 +0900] "GET /Eody/view/searcher/css/animate.css HTTP/1.1" 304 -
192.168.25.57 - - [18/Oct/2020:20:27:13 +0900] "GET /Eody/view/searcher/css/slick.css HTTP/1.1" 304 -
192.168.25.57 - - [18/Oct/2020:20:27:13 +0900] "GET /Eody/view/searcher/css/style.css HTTP/1.1" 304 -
192.168.25.57 - - [18/Oct/2020:20:27:13 +0900] "GET /Eody/view/searcher/css/slicknav.css HTTP/1.1" 304 -
192.168.25.57 - - [18/Oct/2020:20:27:13 +0900] "GET /Eody/view/searcher/js/vendor/jquery-1.12.4.min.js HTTP/1.1" 200 97168
192.168.25.57 - - [18/Oct/2020:20:27:13 +0900] "GET /Eody/view/searcher/js/bootstrap.min.js HTTP/1.1" 200 48950
192.168.25.57 - - [18/Oct/2020:20:27:13 +0900] "GET /Eody/view/searcher/js/owl.carousel.min.js HTTP/1.1" 200 42772
192.168.25.57 - - [18/Oct/2020:20:27:13 +0900] "GET /Eody/view/searcher/js/vendor/modernizr-3.5.0.min.js HTTP/1.1" 200 8638
192.168.25.57 - - [18/Oct/2020:20:27:13 +0900] "GET /Eody/view/searcher/js/isotope.pkgd.min.js HTTP/1.1" 200 35514
192.168.25.57 - - [18/Oct/2020:20:27:13 +0900] "GET /Eody/view/searcher/js/popper.min.js HTTP/1.1" 200 19193
192.168.25.57 - - [18/Oct/2020:20:27:14 +0900] "GET /Eody/view/searcher/js/ajax-form.js HTTP/1.1" 200 1250
192.168.25.57 - - [18/Oct/2020:20:27:14 +0900] "GET /Eody/view/searcher/js/waypoints.min.js HTTP/1.1" 200 8051
192.168.25.57 - - [18/Oct/2020:20:27:14 +0900] "GET /Eody/view/searcher/js/jquery.counterup.min.js HTTP/1.1" 200 1074
192.168.25.57 - - [18/Oct/2020:20:27:14 +0900] "GET /Eody/view/searcher/js/scrollIt.js HTTP/1.1" 200 3826
192.168.25.57 - - [18/Oct/2020:20:27:14 +0900] "GET /Eody/view/searcher/js/jquery.scrollUp.min.js HTTP/1.1" 200 2041
192.168.25.57 - - [18/Oct/2020:20:27:14 +0900] "GET /Eody/view/searcher/js/wow.min.js HTTP/1.1" 200 8416
192.168.25.57 - - [18/Oct/2020:20:27:14 +0900] "GET /Eody/view/searcher/js/imagesloaded.pkgd.min.js HTTP/1.1" 200 5600
192.168.25.57 - - [18/Oct/2020:20:27:14 +0900] "GET /Eody/view/searcher/js/slick.min.js HTTP/1.1" 200 42864
192.168.25.57 - - [18/Oct/2020:20:27:14 +0900] "GET /Eody/view/searcher/js/nice-select.min.js HTTP/1.1" 200 2945
192.168.25.57 - - [18/Oct/2020:20:27:14 +0900] "GET /Eody/view/searcher/js/jquery.slicknav.min.js HTTP/1.1" 200 8420
192.168.25.57 - - [18/Oct/2020:20:27:14 +0900] "GET /Eody/view/searcher/js/jquery.magnific-popup.min.js HTTP/1.1" 200 20219
192.168.25.57 - - [18/Oct/2020:20:27:14 +0900] "GET /Eody/view/searcher/js/contact.js HTTP/1.1" 200 3108
192.168.25.57 - - [18/Oct/2020:20:27:14 +0900] "GET /Eody/view/searcher/js/plugins.js HTTP/1.1" 200 784
192.168.25.57 - - [18/Oct/2020:20:27:14 +0900] "GET /Eody/view/searcher/js/jquery.ajaxchimp.min.js HTTP/1.1" 200 4939
192.168.25.57 - - [18/Oct/2020:20:27:14 +0900] "GET /Eody/img/shopImg/shopimg01.jpg HTTP/1.1" 200 80859
192.168.25.57 - - [18/Oct/2020:20:27:14 +0900] "GET /Eody/view/searcher/js/jquery.form.js HTTP/1.1" 200 42269
192.168.25.57 - - [18/Oct/2020:20:27:14 +0900] "GET /Eody/view/searcher/js/jquery.validate.min.js HTTP/1.1" 200 21069
192.168.25.57 - - [18/Oct/2020:20:27:14 +0900] "GET /Eody/view/searcher/js/mail-script.js HTTP/1.1" 200 1260
192.168.25.57 - - [18/Oct/2020:20:27:14 +0900] "GET /Eody/view/searcher/js/main.js HTTP/1.1" 200 8887
192.168.25.57 - - [18/Oct/2020:20:27:14 +0900] "GET /Eody/img/logo/s_whitelogo.png HTTP/1.1" 200 8549
192.168.25.57 - - [18/Oct/2020:20:27:14 +0900] "GET /Eody/img/shopImg/ HTTP/1.1" 404 836
192.168.25.57 - - [18/Oct/2020:20:27:14 +0900] "GET /Eody/img/shopImg/shopimg02.jpg HTTP/1.1" 200 138655
192.168.25.57 - - [18/Oct/2020:20:27:14 +0900] "GET /Eody/img/shopImg/shopimg03.jpg HTTP/1.1" 200 98720
192.168.25.57 - - [18/Oct/2020:20:27:14 +0900] "GET /Eody/view/searcher/img/banner/banner2.jpg HTTP/1.1" 200 2748991
192.168.25.57 - - [18/Oct/2020:20:27:14 +0900] "GET /Eody/view/searcher/img/banner/sprayed_bg.png HTTP/1.1" 200 2160930
192.168.25.57 - - [18/Oct/2020:20:27:14 +0900] "GET /Eody/view/searcher/fonts/themify.woff?-fvbane HTTP/1.1" 200 56108
192.168.25.57 - - [18/Oct/2020:20:27:15 +0900] "GET /Eody/weather.mc HTTP/1.1" 200 1490
192.168.25.57 - - [18/Oct/2020:20:27:15 +0900] "GET /Eody/img/favicon.png HTTP/1.1" 404 835
192.168.25.57 - - [18/Oct/2020:20:33:02 +0900] "GET /Eody/search.mc HTTP/1.1" 200 9623
192.168.25.57 - - [18/Oct/2020:20:33:02 +0900] "GET /Eody/view/searcher/js/search.js?ver=1 HTTP/1.1" 200 2141
192.168.25.57 - - [18/Oct/2020:20:33:21 +0900] "POST /Eody/searchimpl1.mc HTTP/1.1" 200 10498
192.168.25.57 - - [18/Oct/2020:20:33:21 +0900] "GET /Eody/view/searcher/js/search.js HTTP/1.1" 200 2141
192.168.25.57 - - [18/Oct/2020:20:33:21 +0900] "GET /Eody/view/searcher/img/regions/kyodae.jpg HTTP/1.1" 404 868
192.168.25.57 - - [18/Oct/2020:20:33:21 +0900] "GET /Eody/view/searcher/img/regions/shinsa.jpg HTTP/1.1" 200 21330
192.168.25.57 - - [18/Oct/2020:20:33:21 +0900] "GET /Eody/view/searcher/img/regions/nonhyun.jpg HTTP/1.1" 200 33043
192.168.25.57 - - [18/Oct/2020:20:33:23 +0900] "GET /Eody/Listings.html HTTP/1.1" 404 829
192.168.25.57 - - [18/Oct/2020:20:33:23 +0900] "GET /favicon.ico HTTP/1.1" 404 818
192.168.25.57 - - [18/Oct/2020:20:33:50 +0900] "GET /Eody/Listings.html HTTP/1.1" 404 829
192.168.25.57 - - [18/Oct/2020:20:34:02 +0900] "GET /Eody/Listings.html HTTP/1.1" 404 829
192.168.25.57 - - [18/Oct/2020:20:34:34 +0900] "GET /Eody/specific_search.mc?region1=%EB%85%BC%ED%98%84&region2=%EC%8B%A0%EC%82%AC&region3=%EA%B5%90%EB%8C%80&searchType=DFS&number_blank=3&shop=&time= HTTP/1.1" 200 16738
192.168.25.57 - - [18/Oct/2020:20:34:35 +0900] "GET /Eody/view/searcher/img/regions/kyodae.jpg HTTP/1.1" 404 868
192.168.25.57 - - [18/Oct/2020:20:34:35 +0900] "GET /Eody/view/searcher/js/regionlist.js?ver=41 HTTP/1.1" 200 389
192.168.25.57 - - [18/Oct/2020:20:34:35 +0900] "GET /Eody/view/searcher/img/banner/bradcam2.png HTTP/1.1" 200 1594252
